GAME_ID,LAST_GAME_ID,LAST_GAME_DATE_EST,LAST_GAME_HOME_TEAM_ID,LAST_GAME_HOME_TEAM_CITY,LAST_GAME_HOME_TEAM_NAME,LAST_GAME_HOME_TEAM_ABBREVIATION,LAST_GAME_HOME_TEAM_POINTS,LAST_GAME_VISITOR_TEAM_ID,LAST_GAME_VISITOR_TEAM_CITY,LAST_GAME_VISITOR_TEAM_NAME,LAST_GAME_VISITOR_TEAM_CITY1,LAST_GAME_VISITOR_TEAM_POINTS
22200221,22101048,2022-03-18T00:00:00,1610612757,Portland,Trail Blazers,POR,123,1610612751,Brooklyn,Nets,BKN,128
22200222,22100944,2022-03-03T00:00:00,1610612758,Sacramento,Kings,SAC,115,1610612759,San Antonio,Spurs,SAS,112
22200223,22101013,2022-03-13T00:00:00,1610612746,LA,Clippers,LAC,106,1610612765,Detroit,Pistons,DET,102
22200224,22100811,2022-02-07T00:00:00,1610612764,Washington,Wizards,WAS,100,1610612748,Miami,Heat,MIA,121
22200225,22100932,2022-03-02T00:00:00,1610612739,Cleveland,Cavaliers,CLE,98,1610612766,Charlotte,Hornets,CHA,119
22200226,22200015,2022-10-20T00:00:00,1610612755,Philadelphia,76ers,PHI,88,1610612749,Milwaukee,Bucks,MIL,90
22200227,22100769,2022-02-01T00:00:00,1610612741,Chicago,Bulls,CHI,126,1610612753,Orlando,Magic,ORL,115
22200228,12200062,2022-10-14T00:00:00,1610612745,Houston,Rockets,HOU,122,1610612754,Indiana,Pacers,IND,114
22200229,22101018,2022-03-13T00:00:00,1610612763,Memphis,Grizzlies,MEM,125,1610612760,Oklahoma City,Thunder,OKC,118
22200230,22100558,2022-01-03T00:00:00,1610612742,Dallas,Mavericks,DAL,103,1610612743,Denver,Nuggets,DEN,89
22200231,22100745,2022-01-29T00:00:00,1610612740,New Orleans,Pelicans,NOP,97,1610612738,Boston,Celtics,BOS,107
22200232,22101210,2022-04-08T00:00:00,1610612762,Utah,Jazz,UTA,105,1610612756,Phoenix,Suns,PHX,111
22200233,22100837,2022-02-10T00:00:00,1610612744,Golden State,Warriors,GSW,114,1610612752,New York,Knicks,NYK,116
22200234,22100304,2021-11-28T00:00:00,1610612747,Los Angeles,Lakers,LAL,110,1610612765,Detroit,Pistons,DET,106
22200235,22200099,2022-10-31T00:00:00,1610612737,Atlanta,Hawks,ATL,109,1610612761,Toronto,Raptors,TOR,139
22200236,22100933,2022-03-02T00:00:00,1610612754,Indiana,Pacers,IND,122,1610612753,Orlando,Magic,ORL,114
22200237,22100901,2022-02-25T00:00:00,1610612755,Philadelphia,76ers,PHI,133,1610612750,Minnesota,Timberwolves,MIN,102
22200238,12200017,2022-10-04T00:00:00,1610612757,Portland,Trail Blazers,POR,101,1610612762,Utah,Jazz,UTA,118
22200239,22200126,2022-11-04T00:00:00,1610612746,LA,Clippers,LAC,113,1610612759,San Antonio,Spurs,SAS,106
22200240,22100953,2022-03-04T00:00:00,1610612756,Phoenix,Suns,PHX,115,1610612752,New York,Knicks,NYK,114
22200241,22200144,2022-11-07T00:00:00,1610612764,Washington,Wizards,WAS,108,1610612766,Charlotte,Hornets,CHA,100
22200242,22100679,2022-01-19T00:00:00,1610612758,Sacramento,Kings,SAC,131,1610612765,Detroit,Pistons,DET,133
22200243,22200049,2022-10-24T00:00:00,1610612751,Brooklyn,Nets,BKN,124,1610612763,Memphis,Grizzlies,MEM,134
22200244,22100998,2022-03-11T00:00:00,1610612739,Cleveland,Cavaliers,CLE,105,1610612748,Miami,Heat,MIA,117
22200245,22100764,2022-01-31T00:00:00,1610612745,Houston,Rockets,HOU,108,1610612744,Golden State,Warriors,GSW,122
22200246,22200230,2022-11-18T00:00:00,1610612742,Dallas,Mavericks,DAL,127,1610612743,Denver,Nuggets,DEN,99
22200247,22100973,2022-03-07T00:00:00,1610612747,Los Angeles,Lakers,LAL,110,1610612759,San Antonio,Spurs,SAS,117
22200248,12200052,2022-10-12T00:00:00,1610612739,Cleveland,Cavaliers,CLE,105,1610612737,Atlanta,Hawks,ATL,99
22200249,22200236,2022-11-19T00:00:00,1610612754,Indiana,Pacers,IND,114,1610612753,Orlando,Magic,ORL,113
